date,country,cases,deaths
4/9/2015,Guinea,3093,1921
4/9/2015,Liberia,3151,0
4/9/2015,Mali,7,0
4/9/2015,Nigeria,19,7
4/9/2015,Senegal,1,0
4/9/2015,Sierra Leone,8558,3475
4/9/2015,Spain,1,0
4/9/2015,United Kingdom,1,0
4/9/2015,US ,4,1
4/13/2015,Guinea,3112,1928
4/13/2015,Liberia,3151,0
4/13/2015,Mali,7,0
4/13/2015,Nigeria,19,7
4/13/2015,Senegal,1,0
4/13/2015,Sierra Leone,8560,3488
4/13/2015,Spain,1,0
4/13/2015,United Kingdom,1,0
4/13/2015,US ,4,1
4/14/2015,Guinea,3117,1932
4/14/2015,Liberia,3151,0
4/14/2015,Mali,7,0
4/14/2015,Nigeria,19,7
4/14/2015,Senegal,1,0
4/14/2015,Sierra Leone,8563,3491
4/14/2015,Spain,1,0
4/14/2015,United Kingdom,1,0
4/14/2015,US ,4,1
4/15/2015,Guinea,3117,1932
4/15/2015,Liberia,3151,0
4/15/2015,Mali,7,0
4/15/2015,Nigeria,19,7
4/15/2015,Senegal,1,0
4/15/2015,Sierra Leone,8563,3491
4/15/2015,Spain,1,0
4/15/2015,United Kingdom,1,0
4/15/2015,US ,4,1
4/16/2015,Guinea,3124,1934
4/16/2015,Liberia,3151,0
4/16/2015,Mali,7,0
4/16/2015,Nigeria,19,7
4/16/2015,Senegal,1,0
4/16/2015,Sierra Leone,8566,3499
4/16/2015,Spain,1,0
4/16/2015,United Kingdom,1,0
4/16/2015,US ,4,1
4/17/2015,Guinea,3126,1937
4/17/2015,Liberia,3151,0
4/17/2015,Mali,7,0
4/17/2015,Nigeria,19,7
4/17/2015,Senegal,1,0
4/17/2015,Sierra Leone,8569,3499
4/17/2015,Spain,1,0
4/17/2015,United Kingdom,1,0
4/17/2015,US ,4,1
4/20/2015,Guinea,3133,1942
4/20/2015,Liberia,3151,0
4/20/2015,Mali,7,0
4/20/2015,Nigeria,19,7
4/20/2015,Senegal,1,0
4/20/2015,Sierra Leone,8572,3506
4/20/2015,Spain,1,0
4/20/2015,United Kingdom,1,0
4/20/2015,US ,4,1
4/21/2015,Guinea,3136,1943
4/21/2015,Liberia,3151,0
4/21/2015,Mali,7,0
4/21/2015,Nigeria,19,7
4/21/2015,Senegal,1,0
4/21/2015,Sierra Leone,8573,3511
